id	x	y	cluster	weight<Links>	weight<Total link strength>
G16Z	-0.7014	-0.4168	1	374	46870
G21B	-0.0308	0.4145	1	316	18314
G21C	0.1914	0.4614	1	541	196330
G21D	0.219	0.6756	1	389	65519
G21F	0.3963	0.2973	1	540	147025
G21G	0.3081	0.0239	1	348	33150
G21H	0.3708	0.0187	1	399	17921
G21J	-0.3119	0.485	1	98	688
G21K	-0.0943	-0.1678	1	474	174465
G99Z	-0.8967	-0.1537	1	103	267
H01B	0.0228	-0.0617	1	620	1226007
H01C	-0.3405	0.0227	1	514	195435
H01F	-0.2732	0.1112	1	618	888131
H01G	-0.0319	-0.0162	1	549	420887
H01H	-0.5857	0.0708	1	623	722585
H01J	-0.2094	-0.0514	1	621	893329
H01K	-0.4282	-0.0771	1	444	50289
H01L	-0.2323	-0.1181	1	631	5209442
H01M	0.0973	0.1723	3	617	1468419
H01P	-0.9833	-0.1395	1	456	189958
H01Q	-0.9378	-0.0867	1	561	492335
H01R	-0.4409	0.0762	1	610	948351
H01S	-0.5104	-0.2118	1	536	417444
H01T	-0.271	0.2909	1	495	108912
H02B	-0.5677	0.1626	1	520	285580
H02G	-0.3533	0.1336	1	586	646356
H02H	-0.6989	0.1589	1	549	456048
H02J	-0.5382	0.1793	1	611	1508768
H02K	-0.3458	0.3384	4	619	854275
H02M	-0.7104	0.1306	1	569	678367
H02N	-0.4106	0.1942	1	578	221333
H02P	-0.5482	0.2748	4	595	546967
H02S	-0.3085	0.3213	7	547	325403
H03B	-1.2781	-0.2034	1	447	148504
H03C	-1.4537	-0.2624	1	308	56352
H03D	-1.4369	-0.2537	1	337	126534
H03F	-1.2437	-0.2002	1	498	267221
H03G	-1.3715	-0.2585	1	399	180904
H03H	-1.0611	-0.1636	1	500	385490
H03J	-1.2866	-0.1858	1	400	131516
H03K	-0.9745	-0.1178	1	576	839436
H03L	-1.3432	-0.2385	1	366	205722
